transaction_id,customer_id,date,category,units,unit_price,discount_pct,revenue,region,channel
T00045,C0186,2022-01-17,Electronics,16,1515.99,7.4,22460.91,North,Digital
T00046,C1189,2022-01-17,Electronics,13,1313.8,22.7,13202.38,North,Partner
T00047,C0911,2022-01-17,Services,11,452.25,29.2,3522.12,West,Direct
T00048,C0200,2022-01-18,Software,8,1864.63,7.8,13753.51,North,Partner
T00049,C0438,2022-01-18,Software,3,1050.09,19.2,2545.42,East,Digital
T00050,C1090,2022-01-18,Consumables,12,447.53,23.0,4135.18,North,Direct
T00051,C1622,2022-01-19,Consumables,16,1137.69,16.3,15235.94,East,Direct
T00052,C0864,2022-01-19,Electronics,2,836.5,8.7,1527.45,West,Digital
T00053,C1265,2022-01-19,Consumables,4,1835.12,6.4,6870.69,North,Partner
T00054,C0876,2022-01-20,Electronics,17,626.61,19.4,8585.81,South,Digital
T00055,C1723,2022-01-20,Services,17,1773.76,14.4,25811.76,South,Direct
T00056,C1951,2022-01-21,Services,12,1487.35,25.1,13368.3,West,Direct
T00057,C0846,2022-01-21,Hardware,9,1362.99,2.7,11935.7,East,Partner
T00058,C0592,2022-01-21,Services,1,375.83,1.0,372.07,East,Partner
T00059,C1152,2022-01-22,Hardware,18,181.41,11.1,2902.92,East,Digital
T00060,C1769,2022-01-22,Electronics,11,1730.23,14.2,16329.91,North,Digital
T00061,C1199,2022-01-22,Services,2,1145.38,19.2,1850.93,East,Partner
T00062,C0690,2022-01-23,Consumables,7,1930.93,3.4,13056.95,West,Direct
T00063,C1553,2022-01-23,Services,16,1037.62,17.6,13679.98,South,Partner
T00064,C0360,2022-01-24,Hardware,18,1186.85,24.4,16150.65,West,Digital
T00065,C0546,2022-01-24,Electronics,13,1994.25,27.3,18847.66,East,Direct
T00066,C0305,2022-01-24,Services,3,1434.62,27.0,3141.82,North,Partner
T00067,C1826,2022-01-25,Electronics,4,726.46,15.6,2452.53,North,Direct
T00068,C1882,2022-01-25,Services,7,1657.31,27.0,8468.85,East,Digital
T00069,C1918,2022-01-25,Software,15,598.03,16.1,7526.21,North,Digital
T00070,C0047,2022-01-26,Hardware,15,1054.9,2.2,15475.38,South,Direct
T00071,C1799,2022-01-26,Hardware,15,483.52,29.2,5134.98,South,Digital
T00072,C0439,2022-01-26,Electronics,5,1989.42,0.1,9937.15,South,Digital
T00073,C1905,2022-01-27,Software,6,1869.7,8.6,10253.43,East,Direct
T00074,C0681,2022-01-27,Consumables,6,1748.99,1.4,10347.02,South,Direct
T00075,C0613,2022-01-28,Electronics,14,808.27,16.3,9471.31,North,Partner
T00076,C1314,2022-01-28,Electronics,15,1459.77,17.0,18174.14,South,Digital
T00077,C1581,2022-01-28,Consumables,1,528.96,19.1,427.93,West,Partner
T00078,C0752,2022-01-29,Services,14,786.1,4.2,10543.17,South,Direct
T00079,C1649,2022-01-29,Hardware,8,1611.02,0.5,12823.72,West,Direct
T00080,C0041,2022-01-29,Software,7,122.25,8.0,787.29,South,Direct
T00081,C1798,2022-01-30,Services,10,108.51,1.5,1068.82,North,Partner
T00082,C1034,2022-01-30,Hardware,9,1325.54,1.1,11798.63,East,Digital
T00083,C1074,2022-01-30,Software,19,1551.45,7.9,27148.82,South,Direct
T00084,C1769,2022-01-31,Consumables,11,773.25,30.0,5954.02,East,Partner
T00085,C0110,2022-01-31,Consumables,16,1352.61,24.1,16426.1,East,Partner
T00086,C1774,2022-02-01,Hardware,17,1806.93,10.9,27369.57,North,Direct
T00087,C0407,2022-02-01,Software,19,208.97,11.3,3521.77,North,Partner
T00088,C1984,2022-02-01,Software,13,1662.73,27.9,15584.77,North,Direct
T00089,C1439,2022-02-02,Electronics,18,1167.66,19.9,16835.32,East,Partner
T00090,C0685,2022-02-02,Hardware,12,850.49,25.1,7644.2,South,Digital
T00091,C0133,2022-02-02,Consumables,8,112.91,25.9,669.33,South,Partner
T00092,C0245,2022-02-03,Consumables,16,774.31,5.1,11757.12,South,Partner
T00093,C0244,2022-02-03,Consumables,17,1589.84,0.5,26892.14,North,Partner
T00094,C0140,2022-02-03,Electronics,6,1088.51,8.0,6008.58,East,Partner
T00095,C1232,2022-02-04,Hardware,19,360.85,17.8,5635.76,North,Partner
T00096,C1735,2022-02-04,Software,9,472.12,27.3,3089.08,East,Direct
T00097,C1600,2022-02-05,Electronics,5,1696.76,9.3,7694.81,North,Digital
T00098,C1497,2022-02-05,Services,14,871.49,25.5,9089.64,South,Partner
T00099,C1961,2022-02-05,Hardware,5,200.02,19.9,801.08,West,Direct
T00100,C1256,2022-02-06,Hardware,8,1946.93,19.6,12522.65,East,Partner
T00101,C0190,2022-02-06,Services,11,514.39,21.5,4441.76,West,Partner
T00102,C0994,2022-02-06,Electronics,10,1595.01,15.3,13509.73,South,Direct
T00103,C1517,2022-02-07,Electronics,3,35.48,20.2,84.94,East,Partner
T00104,C0915,2022-02-07,Electronics,4,520.44,23.8,1586.3,South,Direct
T00105,C0615,2022-02-07,Hardware,2,680.87,17.7,1120.71,East,Direct
T00106,C0988,2022-02-08,Services,12,1720.26,1.2,20395.4,East,Partner
T00107,C1563,2022-02-08,Software,19,1498.42,15.3,24114.07,North,Partner
T00108,C0728,2022-02-09,Hardware,13,622.96,17.9,6648.85,East,Direct
T00109,C0707,2022-02-09,Software,11,1577.09,26.3,12785.47,North,Digital
T00110,C0950,2022-02-09,Software,17,1622.02,0.2,27519.19,East,Digital
T00111,C0839,2022-02-10,Consumables,1,1028.92,1.5,1013.49,North,Direct
T00112,C0421,2022-02-10,Services,2,1020.7,11.0,1816.85,West,Direct
T00113,C0560,2022-02-10,Hardware,19,1023.95,24.1,14766.38,East,Direct
T00114,C0236,2022-02-11,Consumables,18,343.12,14.5,5280.62,South,Direct
T00115,C1504,2022-02-11,Software,11,1627.34,9.2,16253.87,West,Partner
T00116,C0423,2022-02-11,Electronics,2,1432.07,20.8,2268.4,West,Direct
T00117,C1958,2022-02-12,Hardware,4,1700.28,15.1,5774.15,South,Digital
T00118,C1942,2022-02-12,Software,15,1633.19,17.2,20284.22,West,Digital
T00119,C1345,2022-02-13,Consumables,5,1573.02,12.8,6858.37,South,Direct
T00120,C1982,2022-02-13,Software,12,1562.95,21.8,14666.72,South,Direct
T00121,C1728,2022-02-13,Hardware,15,1889.46,0.5,28200.19,West,Digital
T00122,C1504,2022-02-14,Hardware,8,1214.77,0.1,9708.44,West,Direct
T00123,C0712,2022-02-14,Hardware,9,1657.59,20.5,11860.06,West,Partner
T00124,C1675,2022-02-14,Hardware,18,1604.67,0.8,28652.99,South,Direct
T00125,C0682,2022-02-15,Electronics,19,547.77,10.1,9356.46,East,Digital
T00126,C0208,2022-02-15,Consumables,9,1135.8,11.0,9097.76,West,Direct
T00127,C1132,2022-02-16,Software,4,1462.09,18.4,4772.26,North,Direct
T00128,C0247,2022-02-16,Services,1,215.9,23.2,165.81,West,Direct
T00129,C0185,2022-02-16,Software,4,1065.86,24.7,3210.37,West,Partner
T00130,C0186,2022-02-17,Software,10,15.65,8.4,143.35,South,Partner
T00131,C1823,2022-02-17,Software,19,488.2,4.9,8821.29,North,Digital
T00132,C0127,2022-02-17,Services,11,977.88,29.4,7594.22,South,Partner
T00133,C0790,2022-02-18,Consumables,19,620.79,1.3,11641.67,North,Direct
T00134,C1495,2022-02-18,Software,15,1544.47,24.4,17514.29,East,Direct
T00135,C1605,2022-02-18,Consumables,2,1278.43,0.6,2541.52,South,Direct
T00136,C0113,2022-02-19,Hardware,7,542.4,14.6,3242.47,South,Partner
T00137,C1788,2022-02-19,Hardware,12,43.98,19.2,426.43,East,Digital
T00138,C1899,2022-02-20,Consumables,2,516.88,14.3,885.93,East,Digital
T00139,C1940,2022-02-20,Consumables,1,1042.96,16.9,866.7,North,Direct
T00140,C1309,2022-02-20,Services,7,1526.84,0.8,10602.38,South,Digital
T00141,C1025,2022-02-21,Software,17,1210.7,4.6,19635.13,North,Direct
T00142,C0342,2022-02-21,Hardware,12,121.08,16.6,1211.77,East,Digital
T00143,C0248,2022-02-21,Software,10,938.38,24.8,7056.62,South,Partner
T00144,C1636,2022-02-22,Electronics,11,1919.43,16.5,17629.96,South,Direct
T00145,C1701,2022-02-22,Software,11,1809.05,15.0,16914.62,North,Direct
T00146,C1648,2022-02-22,Services,17,1487.37,29.6,17800.84,West,Partner
T00147,C1237,2022-02-23,Consumables,7,574.79,11.7,3552.78,South,Partner
T00148,C1128,2022-02-23,Hardware,6,54.11,11.6,287.0,East,Direct
T00149,C0388,2022-02-24,Software,6,918.17,2.2,5387.82,East,Direct
T00150,C0182,2022-02-24,Hardware,11,755.13,23.5,6354.42,East,Digital
T00151,C0402,2022-02-24,Services,6,1354.94,2.0,7967.05,North,Digital
T00152,C0802,2022-02-25,Consumables,19,150.47,4.1,2741.71,West,Digital
T00153,C0603,2022-02-25,Hardware,14,1847.52,1.7,25425.57,East,Direct
T00154,C1098,2022-02-25,Consumables,6,1474.36,5.8,8333.08,West,Partner
T00155,C1564,2022-02-26,Hardware,5,1942.29,13.2,8429.54,East,Partner
T00156,C1488,2022-02-26,Services,9,1731.97,1.3,15385.09,East,Direct
T00157,C1657,2022-02-26,Hardware,17,866.15,12.3,12913.43,East,Partner
T00158,C0598,2022-02-27,Consumables,19,1328.37,14.4,21604.61,South,Partner
T00159,C1872,2022-02-27,Software,11,1692.8,3.3,18006.31,South,Digital
T00160,C1747,2022-02-28,Hardware,3,415.71,1.7,1225.93,South,Digital
T00161,C0698,2022-02-28,Consumables,1,29.16,9.4,26.42,South,Digital
T00162,C0502,2022-02-28,Services,11,622.09,19.5,5508.61,East,Partner
T00163,C1776,2022-03-01,Services,12,880.54,18.2,8643.38,East,Direct
T00164,C1997,2022-03-01,Electronics,8,1252.9,3.8,9642.32,North,Digital
T00165,C0931,2022-03-01,Hardware,17,534.21,2.8,8827.29,South,Partner
T00166,C0231,2022-03-02,Consumables,1,889.7,5.6,839.88,West,Digital
T00167,C1213,2022-03-02,Hardware,6,1300.87,26.2,5760.25,West,Digital
T00168,C1666,2022-03-02,Consumables,15,1650.6,27.9,17851.24,North,Direct
T00169,C0938,2022-03-03,Electronics,5,461.6,15.6,1947.95,North,Direct
T00170,C0265,2022-03-03,Services,4,1601.81,27.1,4670.88,South,Digital
T00171,C1472,2022-03-04,Hardware,14,1879.01,3.9,25280.2,North,Partner
T00172,C1519,2022-03-04,Software,17,825.03,19.7,11262.48,East,Direct
T00173,C1750,2022-03-04,Consumables,4,1108.46,19.5,3569.24,East,Digital
T00174,C1725,2022-03-05,Electronics,8,29.87,13.5,206.7,East,Digital
T00175,C0956,2022-03-05,Consumables,19,1423.32,22.1,21066.56,South,Direct
T00176,C0626,2022-03-05,Electronics,3,1745.31,14.2,4492.43,South,Direct
T00177,C0332,2022-03-06,Electronics,3,49.77,25.7,110.94,South,Direct
T00178,C0203,2022-03-06,Consumables,5,1688.9,4.1,8098.28,West,Partner
T00179,C1654,2022-03-06,Consumables,10,306.55,0.5,3050.17,West,Digital
T00180,C2000,2022-03-07,Services,16,1685.78,11.3,23924.59,West,Direct
T00181,C1287,2022-03-07,Software,9,1088.39,3.9,9413.49,South,Direct
T00182,C1943,2022-03-08,Services,8,746.62,5.4,5650.42,North,Direct
T00183,C0615,2022-03-08,Software,17,1883.11,1.4,31564.69,North,Direct
T00184,C1514,2022-03-08,Software,5,1228.59,12.9,5350.51,West,Digital
T00185,C0794,2022-03-09,Electronics,7,86.92,22.1,473.97,West,Partner
T00186,C0773,2022-03-09,Hardware,5,1534.34,16.7,6390.53,East,Digital
T00187,C1281,2022-03-09,Electronics,3,372.97,10.7,999.19,North,Digital
T00188,C0269,2022-03-10,Hardware,12,1847.32,0.4,22079.17,South,Digital
T00189,C0825,2022-03-10,Software,19,341.25,15.3,5491.74,East,Direct
T00190,C0837,2022-03-11,Consumables,5,980.44,9.8,4421.78,West,Partner
T00191,C0862,2022-03-11,Hardware,2,1049.93,7.2,1948.67,West,Digital
T00192,C1441,2022-03-11,Services,18,1131.92,13.5,17623.99,West,Direct
T00193,C0557,2022-03-12,Services,3,1071.26,5.1,3049.88,North,Digital
T00194,C0305,2022-03-12,Software,1,883.7,9.6,798.86,East,Direct
T00195,C1222,2022-03-12,Electronics,14,1428.54,27.8,14439.68,West,Partner
T00196,C0034,2022-03-13,Electronics,3,319.56,18.3,783.24,South,Partner
T00197,C1977,2022-03-13,Services,19,1576.67,29.7,21059.58,East,Partner
T00198,C1809,2022-03-13,Consumables,9,84.53,18.8,617.75,South,Direct
T00199,C0766,2022-03-14,Hardware,13,1685.77,2.9,21279.47,West,Partner
T00200,C1400,2022-03-14,Consumables,4,1502.16,20.0,4806.91,South,Partner
T00201,C1038,2022-03-15,Hardware,5,1592.85,26.0,5893.54,West,Direct
T00202,C1388,2022-03-15,Software,15,600.89,27.4,6543.69,East,Direct
T00203,C0439,2022-03-15,Consumables,10,1700.92,16.6,14185.67,South,Partner
T00204,C1895,2022-03-16,Software,18,1385.4,3.6,24039.46,East,Digital
T00205,C1763,2022-03-16,Software,18,1937.4,19.3,28142.67,North,Partner
T00206,C1042,2022-03-16,Hardware,12,49.82,4.3,572.13,West,Direct
T00207,C1755,2022-03-17,Electronics,15,1583.14,1.7,23343.4,South,Direct
T00208,C0637,2022-03-17,Hardware,17,1250.37,6.4,19895.89,South,Digital
T00209,C1572,2022-03-17,Software,12,1978.18,2.9,23049.75,South,Partner
T00210,C1819,2022-03-18,Hardware,16,891.65,13.4,12354.7,East,Partner
T00211,C1393,2022-03-18,Hardware,1,566.51,28.3,406.19,West,Partner
T00212,C1972,2022-03-19,Electronics,4,1760.69,19.8,5648.29,East,Partner
T00213,C0429,2022-03-19,Software,10,658.13,20.8,5212.39,North,Partner
T00214,C0041,2022-03-19,Consumables,2,1408.55,24.1,2138.18,East,Partner
T00215,C1054,2022-03-20,Consumables,9,670.38,7.2,5599.01,East,Digital
T00216,C0662,2022-03-20,Services,12,1891.99,17.2,18798.81,West,Digital
T00217,C1279,2022-03-20,Services,7,1056.94,21.4,5815.28,South,Digital
T00218,C0725,2022-03-21,Hardware,19,646.38,9.1,11163.63,West,Digital
T00219,C1738,2022-03-21,Hardware,17,1646.61,11.6,24745.26,West,Digital
T00220,C0223,2022-03-21,Electronics,16,134.32,21.0,1697.8,North,Direct
T00221,C1928,2022-03-22,Software,14,196.58,24.3,2083.35,West,Digital
T00222,C0444,2022-03-22,Electronics,12,1675.07,10.8,17929.95,West,Direct
T00223,C0654,2022-03-23,Services,13,653.59,18.8,6899.3,West,Direct
T00224,C0049,2022-03-23,Electronics,3,361.34,19.9,868.3,West,Digital
T00225,C1358,2022-03-23,Consumables,18,1178.44,27.9,15293.79,North,Partner
T00226,C1393,2022-03-24,Software,15,516.61,23.6,5920.35,North,Partner
T00227,C1859,2022-03-24,Consumables,6,1974.49,5.8,11159.82,East,Partner
T00228,C0214,2022-03-24,Consumables,13,1643.0,18.8,17343.51,East,Digital
T00229,C0965,2022-03-25,Software,8,1779.46,28.7,10150.04,West,Direct
T00230,C1776,2022-03-25,Hardware,18,1668.84,11.3,26644.7,East,Partner
T00231,C0061,2022-03-25,Electronics,11,1772.86,23.0,15016.12,North,Digital
T00232,C1168,2022-03-26,Consumables,14,682.58,16.2,8008.03,East,Digital
T00233,C0460,2022-03-26,Hardware,4,1350.09,13.1,4692.91,South,Partner
T00234,C0713,2022-03-27,Hardware,2,1814.9,17.1,3009.1,West,Partner
T00235,C1512,2022-03-27,Services,18,1375.04,12.8,21582.63,East,Partner
T00236,C1618,2022-03-27,Electronics,12,1994.34,9.5,21658.53,West,Partner
T00237,C0012,2022-03-28,Software,13,1732.41,22.8,17386.47,East,Direct
T00238,C1302,2022-03-28,Hardware,8,151.17,16.0,1015.86,North,Digital
T00239,C0789,2022-03-28,Software,12,1008.31,28.0,8711.8,West,Direct
T00240,C1507,2022-03-29,Hardware,9,558.33,0.3,5009.9,North,Partner
T00241,C1683,2022-03-29,Consumables,13,1751.36,23.1,17508.35,South,Digital
T00242,C1756,2022-03-29,Consumables,13,1875.12,4.7,23230.86,North,Direct
T00243,C0205,2022-03-30,Electronics,5,1137.57,22.8,4391.02,North,Digital
T00244,C1616,2022-03-30,Services,18,125.7,26.1,1672.06,West,Partner
T00245,C1929,2022-03-31,Electronics,18,699.89,23.5,9637.49,North,Direct
T00246,C1559,2022-03-31,Software,15,385.27,17.8,4750.38,North,Direct
T00247,C0754,2022-03-31,Consumables,1,1063.25,3.7,1023.91,North,Direct
T00248,C1460,2022-04-01,Hardware,1,1969.83,28.8,1402.52,East,Direct
T00249,C0136,2022-04-01,Hardware,16,693.09,9.8,10002.67,North,Direct
T00250,C0755,2022-04-01,Hardware,3,1470.61,0.8,4376.54,East,Partner
T00251,C1649,2022-04-02,Electronics,19,1663.8,0.1,31580.59,South,Partner
T00252,C1304,2022-04-02,Services,7,1662.05,22.2,9051.52,North,Direct
T00253,C0531,2022-04-03,Software,4,307.56,25.0,922.68,North,Digital
T00254,C1132,2022-04-03,Electronics,14,482.52,24.1,5127.26,North,Partner
T00255,C0004,2022-04-03,Consumables,14,454.32,16.8,5291.92,North,Partner
T00256,C1927,2022-04-04,Services,13,601.59,19.0,6334.74,West,Partner
T00257,C1102,2022-04-04,Software,15,103.14,27.2,1126.29,East,Digital
T00258,C1002,2022-04-04,Consumables,10,1083.37,19.9,8677.79,South,Direct
T00259,C0667,2022-04-05,Hardware,6,1484.45,10.5,7971.5,West,Direct
T00260,C0444,2022-04-05,Software,9,529.03,28.5,3404.31,South,Direct
T00261,C0658,2022-04-05,Consumables,12,1283.26,29.0,10933.38,West,Digital
T00262,C0916,2022-04-06,Hardware,16,1095.72,18.8,14235.59,South,Digital
T00263,C0852,2022-04-06,Software,9,207.35,17.0,1548.9,West,Direct
T00264,C0830,2022-04-07,Software,2,487.16,28.1,700.54,North,Digital
T00265,C1017,2022-04-07,Electronics,8,490.55,23.3,3010.01,East,Digital
T00266,C0938,2022-04-07,Software,12,982.47,3.6,11365.21,South,Direct
T00267,C0620,2022-04-08,Software,15,1259.42,28.7,13469.5,West,Digital
T00268,C1163,2022-04-08,Software,16,609.73,21.7,7638.7,South,Direct
T00269,C0493,2022-04-08,Software,16,262.98,22.2,3273.58,South,Direct
T00270,C1897,2022-04-09,Electronics,6,545.75,12.0,2881.56,South,Digital
T00271,C1335,2022-04-09,Hardware,1,89.97,0.3,89.7,East,Partner
T00272,C0563,2022-04-09,Software,4,1499.84,8.2,5507.41,North,Digital
T00273,C1386,2022-04-10,Electronics,3,1401.63,9.9,3788.61,South,Digital
T00274,C1939,2022-04-10,Hardware,13,1344.62,13.7,15085.29,East,Digital
T00275,C1530,2022-04-11,Software,6,1239.38,21.0,5874.66,North,Digital
T00276,C1560,2022-04-11,Services,4,602.41,13.5,2084.34,South,Direct
T00277,C0437,2022-04-11,Consumables,11,239.81,11.2,2342.46,North,Partner
T00278,C0366,2022-04-12,Software,10,1202.04,7.4,11130.89,North,Digital
T00279,C1124,2022-04-12,Electronics,14,1467.83,23.1,15802.66,West,Digital
T00280,C0561,2022-04-12,Hardware,18,1623.58,23.6,22327.47,West,Digital
T00281,C0241,2022-04-13,Electronics,2,1455.8,10.9,2594.24,North,Digital
T00282,C1819,2022-04-13,Services,2,1320.74,6.5,2469.78,East,Direct
T00283,C0691,2022-04-13,Consumables,16,1650.55,6.6,24665.82,North,Digital
T00284,C1603,2022-04-14,Services,18,1525.93,19.9,22000.86,West,Partner
T00285,C1464,2022-04-14,Electronics,7,1890.35,23.2,10162.52,West,Partner
T00286,C0287,2022-04-15,Hardware,4,22.03,23.5,67.41,West,Direct
T00287,C0376,2022-04-15,Hardware,6,301.87,26.1,1338.49,South,Direct
T00288,C1170,2022-04-15,Software,10,1163.71,22.6,9007.12,South,Partner
T00289,C1248,2022-04-16,Electronics,1,808.11,14.6,690.13,West,Direct
T00290,C0554,2022-04-16,Services,3,687.61,8.0,1897.8,East,Partner
T00291,C0307,2022-04-16,Hardware,1,1494.36,11.2,1326.99,East,Direct
T00292,C1260,2022-04-17,Electronics,14,1075.92,8.5,13782.54,West,Direct
T00293,C0473,2022-04-17,Services,9,1057.71,3.0,9233.81,West,Direct
T00294,C0348,2022-04-17,Software,19,109.17,4.3,1985.04,South,Digital
T00295,C0757,2022-04-18,Software,9,927.98,0.4,8318.41,North,Direct
T00296,C0704,2022-04-18,Software,6,1219.96,5.9,6887.89,North,Digital
T00297,C0805,2022-04-19,Hardware,6,567.37,25.1,2549.76,West,Partner
T00298,C0778,2022-04-19,Consumables,18,485.57,16.1,7333.08,North,Digital
T00299,C1132,2022-04-19,Electronics,4,1105.72,11.7,3905.4,South,Digital
T00300,C1076,2022-04-20,Electronics,14,1824.8,7.1,23733.35,West,Direct
T00301,C0075,2022-04-20,Software,17,241.58,17.7,3379.95,South,Partner
T00302,C0479,2022-04-20,Hardware,19,625.13,29.2,8409.25,North,Digital
T00303,C1010,2022-04-21,Electronics,2,125.7,10.4,225.25,East,Partner
T00304,C1456,2022-04-21,Hardware,13,657.51,25.4,6376.53,West,Digital
T00305,C0061,2022-04-21,Hardware,16,1392.73,28.2,15999.68,North,Direct
T00306,C1619,2022-04-22,Software,13,644.16,23.6,6397.8,East,Direct
T00307,C0189,2022-04-22,Software,16,803.02,17.7,10574.17,West,Digital
T00308,C1280,2022-04-23,Software,18,1871.64,9.1,30623.77,East,Partner
T00309,C0438,2022-04-23,Hardware,17,700.69,1.0,11792.61,West,Digital
T00310,C1807,2022-04-23,Electronics,14,1083.71,22.1,11818.94,South,Direct
T00311,C1387,2022-04-24,Software,4,1867.92,28.7,5327.31,West,Direct
T00312,C1581,2022-04-24,Software,17,1021.94,20.7,13776.77,South,Digital
T00313,C1624,2022-04-24,Software,14,348.61,1.1,4826.85,North,Digital
T00314,C0089,2022-04-25,Consumables,6,294.74,4.2,1694.17,South,Partner
T00315,C1694,2022-04-25,Electronics,13,1798.8,11.8,20625.04,North,Direct
T00316,C0170,2022-04-26,Electronics,4,1772.41,29.7,4984.02,East,Digital
T00317,C1086,2022-04-26,Services,16,509.55,2.5,7948.98,South,Direct
T00318,C1320,2022-04-26,Services,13,1250.19,9.5,14708.49,East,Partner
T00319,C1800,2022-04-27,Consumables,13,341.39,16.6,3701.35,East,Direct
T00320,C1444,2022-04-27,Software,5,470.67,3.4,2273.34,East,Digital
T00321,C1424,2022-04-27,Services,3,1842.12,3.5,5332.94,West,Digital
T00322,C1936,2022-04-28,Hardware,9,809.51,2.1,7132.59,South,Direct
T00323,C0033,2022-04-28,Hardware,7,424.95,15.1,2525.48,East,Direct
T00324,C0007,2022-04-28,Software,17,1053.0,8.6,16361.51,East,Partner
T00325,C0381,2022-04-29,Consumables,19,1703.5,1.2,31978.1,East,Partner
T00326,C0474,2022-04-29,Software,12,1667.57,15.1,16989.2,South,Digital
T00327,C1000,2022-04-30,Services,16,1327.42,21.9,16587.44,South,Direct
T00328,C1664,2022-04-30,Electronics,18,1628.76,20.1,23424.83,West,Digital
T00329,C0786,2022-04-30,Consumables,14,1561.31,20.5,17377.38,West,Digital
T00330,C1784,2022-05-01,Consumables,7,1927.67,16.5,11267.23,North,Digital
T00331,C1282,2022-05-01,Software,5,1315.12,23.4,5036.91,West,Direct
T00332,C0929,2022-05-01,Services,6,1199.82,1.9,7062.14,West,Partner
T00333,C1587,2022-05-02,Consumables,6,1812.28,5.7,10253.88,East,Partner
T00334,C0968,2022-05-02,Electronics,5,729.48,21.1,2877.8,East,Partner
T00335,C0086,2022-05-02,Hardware,13,990.84,10.1,11579.95,South,Digital
T00336,C1708,2022-05-03,Hardware,19,1719.68,7.2,30321.4,East,Digital
T00337,C0266,2022-05-03,Hardware,5,1958.14,0.8,9712.37,North,Partner
T00338,C0920,2022-05-04,Hardware,9,848.32,26.1,5642.18,South,Direct
T00339,C0312,2022-05-04,Software,18,1183.69,25.1,15958.51,West,Direct
T00340,C1575,2022-05-04,Services,18,1677.07,1.8,29643.89,East,Digital
T00341,C1275,2022-05-05,Hardware,1,1042.32,9.1,947.47,South,Partner
T00342,C1898,2022-05-05,Consumables,7,815.03,6.4,5340.08,North,Digital
